Date,Asset Number,Client,Price,Inspection Type,Task,Start,Finish
2017-05-13,587981,CP901,"$1,200",Quarterly,CP901,2017-05-13,2017-05-20
2017-06-09,588011,CP901,"$1,200",Quarterly,CP901,2017-06-09,2017-06-16
2017-06-29,3509-15,CP901,"$1,200",Quarterly,CP901,2017-06-29,2017-07-06
2017-06-29,587797,CP901,"$1,200",Quarterly,CP901,2017-06-29,2017-07-06
2017-06-29,3509-18,CP901,"$1,200",Quarterly,CP901,2017-06-29,2017-07-06
2017-07-08,15Ton Provincial Yard Crane S#71-5060,CP2195,"$1,200",Quarterly,CP2195,2017-07-08,2017-07-15
2017-08-02,3509-17,CP901,"$1,200",Quarterly,CP901,2017-08-02,2017-08-09
2017-08-24,NO ID,CP901,"$1,200",Quarterly,CP901,2017-08-24,2017-08-31
2017-08-25,3509-20,CP901,"$1,200",Quarterly,CP901,2017-08-25,2017-09-01
2017-09-09,15Ton Provincial Yard Crane,CP2195,"$1,200",Quarterly,CP2195,2017-09-09,2017-09-16
2017-10-07,Provincial Yard Crane,CP2195,"$1,200",Quarterly,CP2195,2017-10-07,2017-10-14
2017-12-07,587736,CP901,"$1,200",Quarterly,CP901,2017-12-07,2017-12-14
2017-12-07,587767,CP901,"$1,200",Quarterly,CP901,2017-12-07,2017-12-14
2017-12-09,Jib 21,CP901,"$1,200",Quarterly,CP901,2017-12-09,2017-12-16
2017-12-09,Jib 22,CP901,"$1,200",Quarterly,CP901,2017-12-09,2017-12-16
2017-12-09,Jib 24,CP901,"$1,200",Quarterly,CP901,2017-12-09,2017-12-16
2017-12-09,Jib 25,CP901,"$1,200",Quarterly,CP901,2017-12-09,2017-12-16
2017-12-09,Jib 29,CP901,"$1,200",Quarterly,CP901,2017-12-09,2017-12-16
2017-12-10,Jib 18,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,Jib 26,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,Jib 27,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,Jib 28,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,587889,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,587920,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBW6 East Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBW6 North Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBW7 East Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBW8 East Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBW8 South Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBW9 Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBW10 Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBW2 East Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBE 10 South Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBE9 West Jib 5,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBE3 Jib 1,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,MBE4 Jib 2,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,3509-14,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,3509-13,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,3509-21,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,3509-19,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,Jib 31,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2017-12-10,Parts Wash Jib,CP901,"$1,200",Quarterly,CP901,2017-12-10,2017-12-17
2018-01-28,"1Ton CM CHaon Hoist ""Component Shop""",CP901,"$1,200",Quarterly,CP901,2018-01-28,2018-02-04
2018-01-28,"Jib ""Parts Washer""",CP901,"$1,200",Quarterly,CP901,2018-01-28,2018-02-04
2018-02-01,J20,CP901,"$1,200",Quarterly,CP901,2018-02-01,2018-02-08
2018-02-02,Yard Crane,CP2195,"$1,200",Quarterly,CP2195,2018-02-02,2018-02-09
2018-04-08,DoAll C-650 saw,AM Castle,"$1,200",Quarterly,AM Castle,2018-04-08,2018-04-15
2018-04-18,"Amada CTB400 Saw, s.n.40850348",AM Castle,"$1,200",Quarterly,AM Castle,2018-04-18,2018-04-25
2018-06-09,P&H 25 ton serial: CJ31323. 15t Hoist 1: WTO-1057. 10t Hoist 2: WTO-1056,AM Castle,"$1,200",Quarterly,AM Castle,2018-06-09,2018-06-16
2018-08-30,Crane serial: CJ31324. Hoist A: WTO-1059. Hoist B: WTO-1058,AM Castle,"$1,200",Quarterly,AM Castle,2018-08-30,2018-09-06
2018-10-20,7629 Shaw Box Yard Crane,CP478,"$1,200",Quarterly,CP478,2018-10-20,2018-10-27
