Start,Finish, Price ,Task,Description,Job Number,Value,Type
2021-02-08,2021-02-15,"$1,200.00",Carlson,"20-0753-, Carlson, $1200",20-0753-,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",Advance Crane,"20-0000-, Advance Crane, $1200",20-0000-,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",CP901,"20-0809-41, CP901, $1200",20-0809-41,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",CP901,"20-0809-49, CP901, $1200",20-0809-49,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",CP901,"20-0809-20, CP901, $1200",20-0809-20,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",CP901,"20-0809-48, CP901, $1200",20-0809-48,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",CP901,"20-0809-42, CP901, $1200",20-0809-42,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",Black & Mac,"20-0849-, Black & Mac, $1200",20-0849-,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",CP901,"20-0852-, CP901, $1200",20-0852-,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",CP901,"20-0809-15, CP901, $1200",20-0809-15,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",Amsco,"20-0853-, Amsco, $1200",20-0853-,1200,Quarterly
2020-12-09,2020-12-16,"$1,200.00",Advance Crane,"20-0033-, Advance Crane, $1200",20-0033-,1200,Quarterly
2020-12-07,2020-12-14,"$1,200.00",Motor Coach Ind.,"20-0737-, Motor Coach Ind., $1200",20-0737-,1200,Quarterly
2020-12-07,2020-12-14,"$1,200.00",Motor Coach Ind.,"20-0788-1, Motor Coach Ind., $1200",20-0788-1,1200,Quarterly
2020-12-07,2020-12-14,"$1,200.00",Motor Coach Ind.,"20-0850-, Motor Coach Ind., $1200",20-0850-,1200,Quarterly
2020-12-07,2020-12-14,"$1,200.00",Motor Coach Ind.,"20-0851-, Motor Coach Ind., $1200",20-0851-,1200,Quarterly
2020-12-07,2020-12-14,"$1,200.00",Motor Coach Ind.,"20-0788-10, Motor Coach Ind., $1200",20-0788-10,1200,Quarterly
2020-12-07,2020-12-14,"$1,200.00",Motor Coach Ind.,"20-0672-, Motor Coach Ind., $1200",20-0672-,1200,Quarterly
2020-12-07,2020-12-14,"$1,200.00",Motor Coach Ind.,"20-0788-11, Motor Coach Ind., $1200",20-0788-11,1200,Quarterly
2020-12-06,2020-12-13,"$1,200.00",Advance Crane,"20-0023-, Advance Crane, $1200",20-0023-,1200,Quarterly
2020-12-06,2020-12-13,"$1,200.00",CP2195,"20-0820-, CP2195, $1200",20-0820-,1200,Quarterly
2020-12-05,2020-12-12,"$1,200.00",CP901,"20-0809-13, CP901, $1200",20-0809-13,1200,Quarterly
2020-12-05,2020-12-12,"$1,200.00",CP2195,"20-0840-, CP2195, $1200",20-0840-,1200,Quarterly
2020-12-05,2020-12-12,"$1,200.00",Advance Crane,"20-0042-, Advance Crane, $1200",20-0042-,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",Monteferro,"20-0810-5, Monteferro, $1200",20-0810-5,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",CP901,"20-0809-, CP901, $1200",20-0809-,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",Monteferro,"20-0810-2, Monteferro, $1200",20-0810-2,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",Bradley Steel,"20-0635-, Bradley Steel, $1200",20-0635-,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",Monteferro,"20-0810-6, Monteferro, $1200",20-0810-6,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",Monteferro,"20-0810-3, Monteferro, $1200",20-0810-3,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",CP901,"20-0809-2, CP901, $1200",20-0809-2,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",CP2195,"20-0838-, CP2195, $1200",20-0838-,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",CP478,"20-0837-, CP478, $1200",20-0837-,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",Monteferro,"20-0810-4, Monteferro, $1200",20-0810-4,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",CP478,"20-0512-, CP478, $1200",20-0512-,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",Advance Crane,"20-0030-, Advance Crane, $1200",20-0030-,1200,Quarterly
2020-12-04,2020-12-11,"$1,200.00",Monteferro,"20-0810-1, Monteferro, $1200",20-0810-1,1200,Quarterly
